Product,Material,Type,Sustainability Score,Price ($),Carbon Footprint (kg CO2)
Hemp Beach Bag,Hemp,Accessory,8.6,25.0,1.8
Solar-Powered Camping Light,Solar Panel,Outdoor,9.0,35.0,1.7
Bamboo Butter Knife,Bamboo,Kitchen,8.7,3.0,0.4
Recycled Paper Calendar,Recycled Paper,Office,8.4,5.0,0.8
Organic Cotton Dress Shirt,Organic Cotton,Clothing,8.8,40.0,2.5
Compostable Stirrers,Wood,Kitchen,9.1,2.0,0.3
Reusable Beeswax Wrap,Beeswax,Kitchen,9.2,8.0,0.7
Natural Fiber Shade,Jute,Home Decor,8.6,20.0,1.5
Bamboo Spice Rack,Bamboo,Kitchen,8.9,10.0,0.8
Recycled Plastic Flower Pot,Recycled Plastic,Garden,8.4,7.0,0.9
Eco-Friendly Wall Mirror,Recycled Wood,Home Decor,8.7,30.0,1.9
Organic Cotton Polo Shirt,Organic Cotton,Clothing,8.5,28.0,1.8
Bamboo Measuring Cups,Bamboo,Kitchen,8.8,8.0,0.7
Recycled Glass Pitcher,Recycled Glass,Kitchen,8.3,15.0,1.2
Eco-Friendly Scissors,Recycled Metal,Office,8.9,6.0,0.8
Hemp Gym Bag,Hemp,Sports,8.6,22.0,1.7
Solar-Powered Security Light,Solar Panel,Outdoor,9.0,25.0,1.5
Bamboo Pizza Cutter,Bamboo,Kitchen,8.7,7.0,0.6
Recycled Paper Stickers,Recycled Paper,Stationery,8.4,1.0,0.2
Organic Cotton Cardigan,Organic Cotton,Clothing,8.8,35.0,2.2
Compostable Plates Set,Sugarcane Fiber,Kitchen,9.1,12.0,1.1
Reusable Silicone Cup,Silicone,Kitchen,9.2,5.0,0.6
Natural Fiber Placemats,Raffia,Home Decor,8.6,10.0,1.0
Bamboo Soap Dish,Bamboo,Household,8.9,4.0,0.5
Recycled Plastic Dog Bowl,Recycled Plastic,Pet Care,8.4,8.0,0.9
Eco-Friendly Wall Shelf,Recycled Wood,Home Decor,8.7,20.0,1.4
Organic Cotton Jumpsuit,Organic Cotton,Clothing,8.5,42.0,2.6
Bamboo Serving Fork,Bamboo,Kitchen,8.8,5.0,0.5
Recycled Glass Coaster,Recycled Glass,Kitchen,8.3,3.0,0.4
Eco-Friendly Stapler,Recycled Metal,Office,8.9,7.0,0.7
Hemp Sun Hat,Hemp,Clothing,8.6,15.0,1.3
Solar-Powered Pathway Lights,Solar Panel,Outdoor,9.0,18.0,1.2
Bamboo Spatula,Bamboo,Kitchen,8.7,6.0,0.6
Recycled Paper Envelopes,Recycled Paper,Office,8.4,2.0,0.4
Organic Cotton Vest,Organic Cotton,Clothing,8.8,20.0,1.5
Compostable Cup Sleeve,Cardboard,Kitchen,9.1,1.0,0.2
Reusable Silicone Straw,Silicone,Kitchen,9.2,3.0,0.3
Natural Fiber Planter,Sisal,Home Decor,8.6,12.0,1.1
Bamboo Knife,Bamboo,Kitchen,8.9,7.0,0.6
Recycled Plastic Toy Box,Recycled Plastic,Toys,8.4,25.0,1.8
Eco-Friendly Wall Hook,Recycled Wood,Home Decor,8.7,5.0,0.7
Organic Cotton Blouse,Organic Cotton,Clothing,8.5,30.0,2.0
Bamboo Ladle,Bamboo,Kitchen,8.8,6.0,0.6
Recycled Glass Votive,Recycled Glass,Home Decor,8.3,4.0,0.5
Eco-Friendly Tape Dispenser,Recycled Plastic,Office,8.9,5.0,0.6
Hemp Backpack Purse,Hemp,Accessory,8.6,28.0,2.0
Solar-Powered Deck Lights,Solar Panel,Outdoor,9.0,22.0,1.4
Bamboo Peeler,Bamboo,Kitchen,8.7,4.0,0.5
Recycled Paper Notepad,Recycled Paper,Office,8.4,2.5,0.5
Organic Cotton Kimono,Organic Cotton,Clothing,8.8,25.0,1.7
Compostable Cutlery Set,Wood,Kitchen,9.1,8.0,0.9
Reusable Silicone Lid,Silicone,Kitchen,9.2,6.0,0.6
Natural Fiber Basket,Willow,Home Decor,8.6,18.0,1.3
Bamboo Tongs,Bamboo,Kitchen,8.9,5.0,0.5
Recycled Plastic Storage Box,Recycled Plastic,Home Decor,8.4,15.0,1.2
Eco-Friendly Wall Clock,Recycled Wood,Home Decor,8.7,12.0,1.1
Organic Cotton Tunic,Organic Cotton,Clothing,8.5,35.0,2.3
Bamboo Grater,Bamboo,Kitchen,8.8,7.0,0.6
Recycled Glass Paperweight,Recycled Glass,Office,8.3,5.0,0.6
Eco-Friendly Paper Clips,Recycled Metal,Office,8.9,1.0,0.2
Hemp Sun Visor,Hemp,Clothing,8.6,10.0,1.0
Solar-Powered Spot Light,Solar Panel,Outdoor,9.0,20.0,1.3
Bamboo Skewers,Bamboo,Kitchen,8.7,3.0,0.4
Recycled Paper Binder,Recycled Paper,Office,8.4,6.0,0.8
Organic Cotton Sarong,Organic Cotton,Clothing,8.8,18.0,1.4
Compostable Straw Brush,Plant-Based,Kitchen,9.1,2.0,0.3
Reusable Silicone Mat,Silicone,Kitchen,9.2,10.0,0.8
Natural Fiber Rug,Seagrass,Home Decor,8.6,30.0,2.0
Bamboo Steamer,Bamboo,Kitchen,8.9,12.0,0.9
Recycled Plastic Garden Bench,Recycled Plastic,Outdoor,8.4,50.0,3.2
Eco-Friendly Wall Sconce,Recycled Wood,Home Decor,8.7,18.0,1.4
Organic Cotton Nightgown,Organic Cotton,Clothing,8.5,28.0,1.9
Bamboo Colander,Bamboo,Kitchen,8.8,9.0,0.7
Recycled Glass Perfume Bottle,Recycled Glass,Personal Care,8.3,15.0,1.2
Eco-Friendly Push Pins,Recycled Metal,Office,8.9,2.0,0.3
Hemp Sun Dress,Hemp,Clothing,8.6,40.0,2.5
Solar-Powered Pool Light,Solar Panel,Outdoor,9.0,35.0,1.8
Bamboo Tea Box,Bamboo,Kitchen,8.7,10.0,0.8
Recycled Paper Clipboard,Recycled Paper,Office,8.4,4.0,0.6
Organic Cotton Shawl,Organic Cotton,Clothing,8.8,22.0,1.6
Compostable Coffee Filter,Plant-Based,Kitchen,9.1,3.0,0.5
Reusable Silicone Bowl Cover,Silicone,Kitchen,9.2,5.0,0.5
Natural Fiber Ottoman,Rattan,Home Decor,8.6,25.0,1.8
Bamboo Mortar and Pestle,Bamboo,Kitchen,8.9,15.0,1.1
Recycled Plastic Garden Edging,Recycled Plastic,Garden,8.4,12.0,1.0
Eco-Friendly Wall Planter,Recycled Wood,Home Decor,8.7,10.0,1.0
Organic Cotton Camisole,Organic Cotton,Clothing,8.5,15.0,1.2
Bamboo Sushi Mat,Bamboo,Kitchen,8.8,8.0,0.7
Recycled Glass Candle Jar,Recycled Glass,Home Decor,8.3,7.0,0.8
Eco-Friendly Binder Clips,Recycled Metal,Office,8.9,1.5,0.3
Hemp Beach Cover-Up,Hemp,Clothing,8.6,20.0,1.5
Solar-Powered Flood Light,Solar Panel,Outdoor,9.0,30.0,1.7
Bamboo Tea Infuser,Bamboo,Kitchen,8.7,4.0,0.5
Recycled Paper Desk Organizer,Recycled Paper,Office,8.4,5.0,0.7
Organic Cotton Poncho,Organic Cotton,Clothing,8.8,32.0,2.1
Compostable Drinking Straws,Paper,Kitchen,9.1,2.0,0.3
Reusable Silicone Food Wrap,Silicone,Kitchen,9.2,7.0,0.6
Natural Fiber Hammock,Cotton Rope,Outdoor,8.6,45.0,2.5
Bamboo Rice Paddle,Bamboo,Kitchen,8.9,5.0,0.5
Recycled Plastic Garden Arch,Recycled Plastic,Garden,8.4,40.0,2.8
Eco-Friendly Wall Hooks,Recycled Wood,Home Decor,8.7,6.0,0.8
Organic Cotton Chemise,Organic Cotton,Clothing,8.5,25.0,1.7
Bamboo Measuring Spoons,Bamboo,Kitchen,8.8,6.0,0.6
Recycled Glass Bud Vase,Recycled Glass,Home Decor,8.3,8.0,0.7
